,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
23,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Industry,10,0.01,1.93,0.77,55.38,Weight is well distributed over instruments.,1.64,-1
24,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Sector,10,0.01,1.92,0.81,56.03,Weight is well distributed over instruments.,1.62,-1
25,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Market,10,0.01,1.75,0.79,56.39,Weight is well distributed over instruments.,1.54,-1
26,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Subindustry,10,0.08,2.09,0.8,54.6,Weight is well distributed over instruments.,1.68,-1
27,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 5))))",Sector,10,0.08,1.92,0.81,56.03,Weight is well distributed over instruments.,1.62,-1
28,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Subindustry,10,0.01,2.09,0.8,54.62,Weight is well distributed over instruments.,1.64,-1
29,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Industry,10,0.01,1.93,0.77,55.39,Weight is well distributed over instruments.,1.61,-1
30,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Sector,10,0.01,1.94,0.83,56.05,Weight is well distributed over instruments.,1.6,-1
31,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Market,10,0.01,1.76,0.8,56.42,Weight is well distributed over instruments.,1.53,-1
32,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Subindustry,10,0.08,2.09,0.8,54.62,Weight is well distributed over instruments.,1.64,-1
33,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Sector,10,0.08,1.94,0.83,56.05,Weight is well distributed over instruments.,1.6,-1
34,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 8))))",Market,10,0.08,1.76,0.8,56.42,Weight is well distributed over instruments.,1.53,-1
35,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Subindustry,10,0.01,2.09,0.8,54.62,Weight is well distributed over instruments.,1.61,-1
36,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Industry,10,0.01,1.94,0.78,55.39,Weight is well distributed over instruments.,1.58,-1
37,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Sector,10,0.01,1.95,0.84,56.06,Weight is well distributed over instruments.,1.59,-1
38,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Market,10,0.01,1.79,0.82,56.43,Weight is well distributed over instruments.,1.53,-1
39,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Subindustry,10,0.08,2.09,0.8,54.62,Weight is well distributed over instruments.,1.61,-1
40,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Sector,10,0.08,1.95,0.84,56.06,Weight is well distributed over instruments.,1.59,-1
41,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 13))))",Market,10,0.08,1.79,0.82,56.43,Weight is well distributed over instruments.,1.53,-1
42,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Subindustry,10,0.01,2.07,0.79,54.63,Weight is well distributed over instruments.,1.6,-1
43,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Industry,10,0.01,1.93,0.77,55.39,Weight is well distributed over instruments.,1.57,-1
44,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Sector,10,0.01,1.95,0.83,56.07,Weight is well distributed over instruments.,1.58,-1
45,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Market,10,0.01,1.78,0.81,56.44,Weight is well distributed over instruments.,1.52,-1
