,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
0,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Subindustry,4,0.01,2.73,0.96,82.69,Weight is well distributed over instruments.,2.11,-1
1,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Industry,4,0.01,2.49,0.9,83.38,Weight is well distributed over instruments.,2.01,-1
2,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Sector,4,0.01,2.27,0.85,83.95,Weight is well distributed over instruments.,1.88,-1
3,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Market,4,0.01,2.14,0.88,84.35,Weight is well distributed over instruments.,1.89,-1
4,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Subindustry,4,0.08,2.73,0.96,82.69,Weight is well distributed over instruments.,2.11,-1
5,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Industry,4,0.08,2.49,0.9,83.38,Weight is well distributed over instruments.,2.01,-1
6,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Sector,4,0.08,2.27,0.85,83.95,Weight is well distributed over instruments.,1.88,-1
7,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 1))))",Market,4,0.08,2.14,0.88,84.35,Weight is well distributed over instruments.,1.89,-1
8,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Subindustry,4,0.01,2.14,0.88,84.35,Weight is well distributed over instruments.,1.89,-1
9,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Industry,4,0.01,2.7,0.94,82.7,Weight is well distributed over instruments.,2.06,-1
10,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Sector,4,0.01,2.25,0.84,84.01,Weight is well distributed over instruments.,1.84,-1
11,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Market,4,0.01,2.13,0.87,84.42,Weight is well distributed over instruments.,1.86,-1
12,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Subindustry,4,0.08,2.7,0.94,82.7,Weight is well distributed over instruments.,2.06,-1
13,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Industry,4,0.08,2.46,0.89,83.41,Weight is well distributed over instruments.,1.96,-1
14,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Sector,4,0.08,2.25,0.84,84.01,Weight is well distributed over instruments.,1.84,-1
15,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 2))))",Market,4,0.08,2.13,0.87,84.42,Weight is well distributed over instruments.,1.86,-1
16,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Subindustry,4,0.01,2.68,0.94,82.68,Weight is well distributed over instruments.,2.03,-1
17,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Industry,4,0.01,2.68,0.94,82.68,Weight is well distributed over instruments.,2.03,-1
18,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 3))))",Sector,4,0.01,2.43,0.88,83.4,Weight is well distributed over instruments.,1.92,-1
